iter	MultiClass
0	1.586703207
1	1.564841854
2	1.561766019
3	1.550596776
4	1.540900743
5	1.531814848
6	1.523917959
7	1.516635812
8	1.510093221
9	1.505125831
10	1.499677696
11	1.495503555
12	1.491061841
13	1.486443587
14	1.481846608
15	1.478049718
16	1.474382232
17	1.470566606
18	1.467665389
19	1.464812667
20	1.461804414
21	1.458197819
22	1.456349394
23	1.453270518
24	1.450826985
25	1.447938729
26	1.445434506
27	1.443810227
28	1.442367529
29	1.440425073
30	1.438648641
31	1.437069725
32	1.434779014
33	1.431555759
34	1.429633956
35	1.426953009
36	1.425436153
37	1.42318972
38	1.421295277
39	1.419725546
40	1.418193659
41	1.416865019
42	1.415251053
43	1.413710941
44	1.412050573
45	1.409985584
46	1.408548084
47	1.406735591
48	1.405422826
49	1.403323916
50	1.401704303
51	1.400092197
52	1.398612282
53	1.397131464
54	1.39513125
55	1.393612785
56	1.39252868
57	1.391211162
58	1.390029946
59	1.389071413
60	1.387826453
61	1.386809222
62	1.385175049
63	1.384133364
64	1.383045511
65	1.381820922
66	1.380012326
67	1.378958994
68	1.377836124
69	1.376220354
70	1.374843822
71	1.372910756
72	1.371424311
73	1.370676536
74	1.369867097
75	1.368513622
76	1.367022704
77	1.365354905
78	1.364082485
79	1.36233169
80	1.360974581
81	1.359550934
82	1.358963565
83	1.358044523
84	1.357418909
85	1.356629657
86	1.355705087
87	1.354110531
88	1.352924962
89	1.351359534
90	1.350260051
91	1.349054225
92	1.348202308
93	1.347229104
94	1.346385596
95	1.34537874
96	1.344291035
97	1.342796604
98	1.341897611
99	1.340647961
