iter	Passed	Remaining
0	520	51570
1	893	43803
22	2202	71209
3	2818	67644
4	3245	61660
5	3814	59763
6	4258	56571
7	4811	55334
8	5318	53774
9	5942	53485
10	6385	51662
11	6828	50072
12	7260	48589
13	7672	47128
14	8179	46348
15	8630	45309
16	9167	44761
17	9586	43669
18	10102	43068
19	10641	42567
20	11214	42188
21	11787	41790
22	12248	41006
23	12688	40179
24	13170	39512
25	13723	39059
26	14229	38471
27	14858	38208
28	15326	37523
29	15832	36942
30	16282	36242
31	16860	35828
32	17414	35357
33	17914	34775
34	18519	34393
35	19081	33922
36	19592	33360
37	20036	32690
38	20567	32168
39	21090	31635
40	21596	31078
41	22081	30493
42	22592	29948
43	23040	29323
44	23557	28792
45	24000	28174
46	24344	27452
47	24690	26748
48	25081	26105
49	25382	25382
50	25731	24721
51	25999	23999
52	26372	23387
53	26841	22864
54	27291	22329
55	27847	21880
56	28239	21303
57	28705	20787
58	29127	20241
59	29776	19850
60	30216	19318
61	30660	18792
62	31148	18293
63	31810	17893
64	32385	17438
65	33039	17020
66	33599	16548
67	33917	15961
68	34264	15394
69	34592	14825
70	34888	14250
71	35294	13725
72	35693	13201
73	35988	12644
74	36261	12087
75	36533	11537
76	36779	10986
77	37107	10466
78	37487	9965
79	37707	9426
80	38003	8914
81	38258	8398
82	38549	7895
83	38766	7384
84	39067	6894
85	39314	6400
86	39500	5902
87	39737	5418
88	39994	4943
89	40240	4471
90	40444	3999
91	40669	3536
92	40837	3073
93	41091	2622
94	41359	2176
95	41549	1731
96	41790	1292
97	41958	856
98	42069	424
99	42212	0
